Region	id	Total
종로구	11110	20
중구	11140	16
용산구	11170	33
성동구	11200	11
광진구	11215	29
동대문구	11230	29
중랑구	11260	25
성북구	11290	15
강북구	11305	20
도봉구	11320	12
노원구	11350	49
은평구	11380	20
서대문구	11410	20
마포구	11440	31
양천구	11470	20
강서구	11500	56
구로구	11530	35
금천구	11545	30
영등포구	11560	27
동작구	11590	18
관악구	11620	23
서초구	11650	58
강남구	11680	65
송파구	11710	30
강동구	11740	29
